student_id,meal_plan,enrolled_full_year,protein_g
S001,standard,1,55.2
S002,reduced,1,44.3
S003,reduced,1,46.8
S004,standard,0,44.8
S005,standard,1,52.1
S006,standard,1,50.3
S007,reduced,0,38.6
S008,reduced,1,46.1
S009,reduced,1,44.6
S010,standard,1,51.5
S011,standard,1,49.8
S012,standard,1,54.1
S013,reduced,0,39.8
S014,reduced,1,43.9
S015,standard,0,47.5
S016,standard,1,47.9
S017,standard,1,53.5
S018,standard,1,51.8
S019,reduced,1,41.9
S020,reduced,1,41.3
S021,standard,0,50.1
S022,standard,1,50.6
S023,standard,1,56.4
S024,reduced,0,41.1
S025,reduced,1,42.8
S026,reduced,1,42.1
S027,standard,0,46.2
S028,standard,1,55.7
S029,standard,1,52.7
S030,reduced,0,42.4
S031,reduced,1,40.7
S032,standard,0,45.9
S033,standard,1,53.2
S034,standard,1,51.2
S035,standard,1,49.6
S036,reduced,1,45.6
S037,reduced,1,45.2
S038,standard,0,43.7
S039,standard,1,54.8
S040,standard,1,48.9
