station_id,day,pm25,ozone
ST01,1,18.4,48.2
ST01,2,22.1,55.6
ST01,3,42.6,61.3
ST01,4,15.9,44.9
ST01,5,31.2,58.7
ST01,6,49.7,82.4
ST01,7,19.5,47.5
ST01,8,28.3,63.8
ST01,9,47.1,50.4
ST01,10,25.4,56.9
ST01,11,17.2,45.1
ST01,12,29.8,60.2
ST02,1,15.9,52.1
ST02,2,31.2,74.6
ST02,3,24.8,63.8
ST02,4,19.5,50.4
ST02,5,39.8,56.9
ST02,6,21.7,45.1
ST02,7,25.4,60.2
ST02,8,17.2,79.2
ST02,9,29.8,55.6
ST02,10,18.4,61.3
ST02,11,44.3,44.9
ST02,12,27.6,58.7
ST03,1,19.5,45.1
ST03,2,51.2,60.2
ST03,3,21.7,48.2
ST03,4,25.4,55.6
ST03,5,17.2,61.3
ST03,6,29.8,44.9
ST03,7,38.4,58.7
ST03,8,22.1,52.1
ST03,9,27.6,47.5
ST03,10,41.5,76.8
ST03,11,31.2,50.4
ST03,12,24.8,56.9
ST04,1,25.4,44.9
ST04,2,17.2,58.7
ST04,3,29.8,52.1
ST04,4,18.4,88.1
ST04,5,22.1,63.8
ST04,6,45.9,50.4
ST04,7,15.9,56.9
ST04,8,31.2,45.1
ST04,9,24.8,60.2
ST04,10,19.5,72.9
ST04,11,28.3,55.6
ST04,12,21.7,61.3
